programme,APP,ACH,ACC,APD,RE,FI,CO,conv_APP_to_ACH_pct,conv_ACH_to_ACC_pct,conv_ACC_to_APD_pct,conv_APD_to_RE_pct,conv_RE_to_FI_pct,conv_FI_to_CO_pct,app_to_re_pct,app_to_co_pct
oGTa,21502,278,199,132,109,108,36,1.29,71.58,66.33,82.58,99.08,33.33,0.51,0.17
iGTa,14794,1261,862,539,372,342,180,8.52,68.36,62.53,69.02,91.94,52.63,2.51,1.22
iGV,10313,4991,3016,1350,1011,993,622,48.4,60.43,44.76,74.89,98.22,62.64,9.8,6.03
oGV,8792,2871,2122,894,690,663,484,32.65,73.91,42.13,77.18,96.09,73.0,7.85,5.51
iGTe,7671,603,398,235,156,140,56,7.86,66.0,59.05,66.38,89.74,40.0,2.03,0.73
oGTe,3181,32,20,10,6,7,3,1.01,62.5,50.0,60.0,116.67,42.86,0.19,0.09
