year,APP,ACH,ACC,APD,RE,FI,CO,conv_APP_to_ACH_pct,conv_ACH_to_ACC_pct,conv_ACC_to_APD_pct,conv_APD_to_RE_pct,conv_RE_to_FI_pct,conv_FI_to_CO_pct,app_to_re_pct,app_to_co_pct
2025,19229,2688,1887,990,623,636,391,13.98,70.2,52.46,62.93,102.09,61.48,3.24,2.03
2024,17639,2803,1800,901,691,663,432,15.89,64.22,50.06,76.69,95.95,65.16,3.92,2.45
2023,15511,2525,1649,737,664,652,374,16.28,65.31,44.69,90.09,98.19,57.36,4.28,2.41
2022,13874,2020,1281,532,366,302,184,14.56,63.42,41.53,68.8,82.51,60.93,2.64,1.33
